phylum_division,class,order,family,trophic_group,ecological_group
Acanthocephala,Palaeacanthocephala,,,Invertebrate,Other
Annelida,,,Aeolosomatidae,Invertebrate,Other
Annelida,,Capitellida,Arenicolidae,Invertebrate,Other
Annelida,,Sabellida,Fabriciidae,Invertebrate,Other
Annelida,,,Opheliidae,Invertebrate,Other
Annelida,,,Paraonidae,Invertebrate,Other
Annelida,,Echiurida,Urechidae,Invertebrate,Other
Annelida,Clitellata,,,Invertebrate,Other
Annelida,Errantia,,,Invertebrate,Other
Annelida,Oligochaeta,,,Invertebrate,Other
Annelida,Sedentaria,,,Invertebrate,Other
Apicomplexa,Conoidasida,,,Invertebrate,Other
Apicomplexa,Sporozoea,,,Invertebrate,Other
Arthropoda,Maxillopoda,Calanoida,,Invertebrate,Other
Arthropoda,Maxillopoda,Copepoda,,Invertebrate,Other
Arthropoda,Maxillopoda,Cyclopoida,,Invertebrate,Other
Arthropoda,Maxillopoda,Harpacticoida,,Invertebrate,Other
Arthropoda,Maxillopoda,Poecilostomatoida,,Invertebrate,Other
Arthropoda,Arachnida,,,Invertebrate,Other
Arthropoda,Branchiopoda,,,Invertebrate,Planktonic Invertebrate
Arthropoda,Entognatha,,,Invertebrate,Other
Arthropoda,Hexanauplia,,,Invertebrate,Other
Arthropoda,Insecta,,,Invertebrate,Other
Arthropoda,Malacostraca,,,Invertebrate,Other
Arthropoda,Maxillopoda,,,Invertebrate,Other
Arthropoda,Merostomata,,,Invertebrate,Other
Arthropoda,Ostracoda,,,Invertebrate,Other
Bacillariophyta,Bacillariophyceae,,,Algae,Other
Bacillariophyta,Coscinodiscophyceae,,,Invertebrate,Other
Bacillariophyta,Fragilariophyceae,,,Invertebrate,Other
Brachiopoda,,,,Invertebrate,Other
Bryozoa,Gymnolaemata,,,Invertebrate,Other
Bryozoa,Phylactolaemata,,,Invertebrate,Other
Bryozoa,,,,Invertebrate,Other
Cephalorhyncha,Priapulida,,Priapulidae,Invertebrate,Other
Cercozoa,,,Heteromitidae,Algae,Other
Chaetognatha,Sagittoidea,,,Invertebrate,Other
Chaetognatha,,,,Invertebrate,Other
Charophyta,Charophyceae,,,Algae,Other
Charophyta,Conjugatophyceae,,,Algae,Other
Chlorophyta,Chlorodendrophyceae,,,Algae,Other
Chlorophyta,Chlorophyceae,,,Algae,Other
Chlorophyta,Mamiellophyceae,,,Algae,Other
Chlorophyta,Trebouxiophyceae,,,Algae,Other
Chlorophyta,Ulvophyceae,,,Algae,Other
Chlorophyta,Zygnematophyceae,,,Algae,Other
Chlorophyta,,,,Algae,Other
Chordata,Mammalia,Cetacea,Delphinidae,Mammal,Other 
Chordata,Mammalia,Sirenia,Dugongidae,Mammal,Other 
Chordata,Myxini,Myxiniformes,Myxinidae,Fish,Other
Chordata,Actinopterygii,Salmoniformes,,Fish,Salmonid
Chordata,Actinopterygii,,,Fish,Other
Chordata,Amphibia,,,Amphibian,Other
Chordata,Appendicularia,,,Invertebrate,Other
Chordata,Ascidiacea,,,Invertebrate,Other
Chordata,Cephalaspidomorphi,,,Fish,Other
Chordata,Cephalochordata,,,Invertebrate,Other
Chordata,Chondrichthyes,,,Fish,Other
Chrysophyta,Chrysophyceae,,,Algae,Other
Chrysophyta,Pelagophyceae,,,Algae,Other
Chrysophyta,,,,Algae,Other
Ciliophora,Litostomatea,Haptorida,Enchelyidae,Algae,Other
Ciliophora,Prostomatea,Prostomatida,Holophryidae,Algae,Other
Ciliophora,Oligohymenophorea,Philasterida,Orchitophryidae,Algae,Other
Ciliophora,Oligohymenophorea,Scuticociliatida,Paranophryidae,Algae,Other
Ciliophora,Oligohymenophorea,Scuticociliatida,Philasteridae,Algae,Other
Ciliophora,Oligohymenophorea,Scuticociliatida,,Algae,Other
Ciliophora,Ciliatea,,,Invertebrate,Other
Ciliophora,Kinetofragminophorea,,,Invertebrate,Other
Ciliophora,Nassophorea,,,Invertebrate,Other
Ciliophora,Phyllopharyngea,,,Invertebrate,Other
Ciliophora,,,,Algae,Other
Cnidaria,Anthozoa,,,Invertebrate,Other
Cnidaria,Hydrozoa,,,Invertebrate,Other
Cnidaria,Scyphozoa,,,Invertebrate,Other
Cnidaria,,,,Invertebrate,Other
Craspedophyta,Craspedophyceae,Craspedomonadales,Codonosigaceae,Algae,Other
Cryptophycophyta,Cryptophyceae,,,Algae,Other
Cryptophycophyta,,,,Algae,Other
Cryptophyta,,,Katablepharidaceae,Algae,Other
Cryptophyta,,,,Algae,Other
Ctenophora,Tentaculata,,,Invertebrate,Other
Ctenophora,,,,Invertebrate,Other
Cyanophycota,Cyanophyceae,,,Algae,Other
Cyanophycota,,,,Algae,Other
Echinodermata,Asteroidea,,,Invertebrate,Other
Echinodermata,Crinoidea,,,Invertebrate,Other
Echinodermata,Echinoidea,,,Invertebrate,Other
Echinodermata,Holothuroidea,,,Invertebrate,Other
Echinodermata,Ophiuroidea,,,Invertebrate,Other
Echinodermata,Stelleroidea,,,Invertebrate,Other
Echinodermata,,,,Invertebrate,Other
Ectoprocta,,Pedicellinida,Pedicellinidae,Invertebrate,Other
Euglenophycota,Euglenophyceae,,,Algae,Other
Euglenophycota,,,,Algae,Other
Gastrotricha,,Chaetonotida,Chaetonotidae,Invertebrate,Other
Gastrotricha,,Macrodasyida,Lepidodasyidae,Invertebrate,Other
Gastrotricha,,Macrodasyida,Macrodasyidae,Invertebrate,Other
Gastrotricha,,Chaetonotida,Neodasyidae,Invertebrate,Other
Gastrotricha,,Macrodasyida,Turbanellidae,Invertebrate,Other
Gastrotricha,,,,Invertebrate,Other
Gnathostomulida,,Bursovaginoidea,Austrognathiidae,Invertebrate,Other
Gnathostomulida,,Bursovaginoidea,Gnathostomulidae,Invertebrate,Other
Gnathostomulida,,Bursovaginoidea,Mesognathariidae,Invertebrate,Other
Haptophyta,Prymnesiophyceae,,,Algae,Other
Haptophyta,,,,Algae,Other
Hemichordata,,,,Invertebrate,Other
Magnoliophyta,Liliopsida,,,Plant,Other
Magnoliophyta,Magnoliopsida,,,Plant,Other
Mollusca,Bivalvia,,,Invertebrate,Other
Mollusca,Cephalopoda,,,Invertebrate,Other
Mollusca,Gastropoda,,,Invertebrate,Other
Mollusca,Polyplacophora,,,Invertebrate,Other
Mollusca,,,,Invertebrate,Other
Myzozoa,Perkinsea,,,Invertebrate,Other
Nematoda,Adenophorea,,,Invertebrate,Other
Nematoda,Secernentea,,,Invertebrate,Other
Nematoda,,,,Invertebrate,Other
Ochrophyta,Eustigmatophyceae,,,Algae,Other
Ochrophyta,Raphidophyceae,,,Algae,Other
Phaeophyta,Phaeophyceae,,,Invertebrate,Other
Phaeophyta,,,,Algae,Other
Phoronida,,,,Invertebrate,Other
Platyhelminthes,Cestoda,,,Invertebrate,Other
Platyhelminthes,Trematoda,,,Invertebrate,Other
Platyhelminthes,Turbellaria,,,Invertebrate,Other
Polypodiophyta,Filicopsida,,,Plant,Other
Porifera,Pharetronida,Sycettida,Grantiidae,Invertebrate,Other
Porifera,Demospongiae,,,Invertebrate,Other
Prasinophyta,Prasinophyceae,,,Algae,Other
Prasinophyta,,,,Algae,Other
Protozoa,,,Enterocytozoonidae,Algae,Other
Protozoa,Choanoflagellata,,,Invertebrate,Other
Protozoa,Dictyosteliomycetes,,,Invertebrate,Other
Protozoa,Granuloreticulosea,,,Invertebrate,Other
Protozoa,Heliozoa,,,Invertebrate,Other
Protozoa,Kinetoplastea,,,Invertebrate,Other
Protozoa,Lobosa,,,Invertebrate,Other
Protozoa,Tubulinea,,,Algae,Other
Protozoa,,,,Algae,Other
Pyrrophycophyta,Chloromonadophyceae,,,Algae,Other
Pyrrophycophyta,Dinophyceae,,,Algae,Other
Pyrrophycophyta,,,,Algae,Other
Rhodophycota,Florideophyceae,,,Algae,Other
Rhodophycota,Rhodophyceae,,,Invertebrate,Other
Rhodophyta,Cyanidiophyceae,,,Algae,Other
Rotifera,Bdelloidea,,,Invertebrate,Other
Rotifera,Monogononta,,,Invertebrate,Other
Rotifera,,,,Invertebrate,Planktonic Invertebrate
Sarcomastigophora,Phytomastigophora,,,Invertebrate,Other
Sarcomastigophora,Zoomastigophora,,,Invertebrate,Other
Sarcomastigophora,,,,Algae,Other
Sipuncula,Sipunculidea,,,Invertebrate,Other
Sipuncula,,,,Invertebrate,Other
Tardigrada,,,,Invertebrate,Other
Xanthophyta,Xanthophyceae,Vaucheriales,Botrydiaceae,Algae,Other
Xanthophyta,Xanthophyceae,Mischococcales,Centratractaceae,Algae,Other
Xanthophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Algae,Other
Xanthophyta,Xanthophyceae,Chloramoebales,Heterochloridaceae,Algae,Other
Xanthophyta,Xanthophyceae,Mischococcales,Pleurochloridaceae,Algae,Other
Xanthophyta,Xanthophyceae,Tribonematales,Tribonemataceae,Algae,Other
Xanthophyta,Xanthophyceae,Vaucheriales,Vaucheriaceae,Algae,Other
Xanthophyta,Xanthophyceae,,,Algae,Other
Xanthophyta,,,,Algae,Other
,Chephlocarida,,,Invertebrate,Other
,Coelenterata,,,Invertebrate,Other
,Gammaproteobacteria,,,Bacteria,Other
,Nematocera,,,Invertebrate,Other
,Oligohymenophora,,,Invertebrate,Other
,Polychaeta,,,Invertebrate,Other
,Sarcoptergii,,,Fish,Other
