phylum_division,class,tax_order,family
Platyhelminthes,Cestoda,,
Platyhelminthes,Trematoda,,
Platyhelminthes,Turbellaria,,
Polypodiophyta,Filicopsida,,
,Gammaproteobacteria,,
Ascomycetes,,,
Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae
Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae
Ascomycota,Dothideomycetes,Dothideales,Davidiellaceae
Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae
Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae
Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae
Ascomycota,Dothideomycetes,Pleosporales,Tubeufiaceae
Ascomycota,Dothideomycetes,Pleosporales,
Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae
Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae
Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae
Ascomycota,Leotiomycetes,Helotiales,Helotiaceae
Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae
Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae
Ascomycota,Leotiomycetes,Helotiales,
Ascomycota,Pezizomycetes,,
Ascomycota,Sordariomycetes,Halosphaeriales,Halosphaeriaceae
Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae
Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae
Ascomycota,Sordariomycetes,Hypocreales,
Ascomycota,Sordariomycetes,Lulworthiales,Lulworthiaceae
Ascomycota,Sordariomycetes,Microascales,Microascaceae
Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae
Ascomycota,Sordariomycetes,Sordariales,Sordariaceae
Ascomycota,,,
Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae
Basidiomycota,Basidiomycetes,,
Basidiomycota,,,
Bryophyta,Bryopsida,Fissidentales,Fissidentaceae
Bryophyta,Bryopsida,Hypnales,Amblystegiaceae
Bryophyta,Bryopsida,Hypnales,Brachytheciaceae
Bryophyta,Bryopsida,Hypnales,Hypnaceae
Bryophyta,Bryopsida,Isobryales,Fontinalaceae
Bryophyta,Bryopsida,,Cinclidotaceae
Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae
Chordata,Mammalia,Cetacea,Delphinidae
Chordata,Mammalia,Sirenia,Dugongidae
Chordata,Reptilia,Testudines,Cheloniidae
Chordata,Reptilia,Testudines,Emydidae
Chordata,Reptilia,Testudines,Trionychidae
Chordata,,,
Chytridiomycota,Chytridiomycetes,Chytridiales,
Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae
Deuteromycotina,,Hyphomycetales,
Deuteromycotina,,Moniliales,Dematiaceae
Equisetophyta,Equisetopsida,Equisetales,Equisetaceae
Lycopodiophyta,Lycopodiopsida,Isoetales,Isoetaceae
Magnoliophyta,,,
Marchantiophyta,Hepatopsida,Jungermanniales,Jungermanniaceae
Marchantiophyta,Hepatopsida,Jungermanniales,Scapaniaceae
Marchantiophyta,Hepatopsida,Marchantiales,Ricciaceae
Myxomycota,Phycomycota,Blastocladiales,Blastocladiaceae
Myxomycota,Phycomycota,Blastocladiales,Catenariaceae
Myxomycota,Phycomycota,Lagenidiales,Lagenidiaceae
Myxozoa,Microsporea,Glugeida,Pleistophoridae
Nematomorpha,,Gordioidea,Chordodidae
Nemertea,Anopla,Heteronemertea,Lineidae
Nemertea,Enopla,Hoplonemertea,Tetrastemmatidae
Nemertea,,,
Oomycota,Oomycetes,Peronosporales,Peronosporaceae
Oomycota,Oomycetes,Pythiales,Pythiaceae
Oomycota,Oomycetes,Saprolegniales,Haliphthoraceae
Oomycota,Oomycetes,Saprolegniales,Leptolegniaceae
Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae
Oomycota,Oomycetes,Saprolegniales,Thraustochytriaceae
Oomycota,Oomycetes,Saprolegniales,
Platyhelminthes,Digenea,,
Platyhelminthes,,,
Tracheophyta,,,
Zygomycota,,Mucorales,Lichtheimiaceae
Zygomycota,,Mucorales,Mucoraceae
