code,description,duration_units_to_keep,duration_value_multiplier_to_hours,comments
--,Unspecified,FALSE,NA,NA
#NAME?,"Pretreatment, time unknown",FALSE,NA,NA
BLM,Bloom stage,FALSE,NA,NA
LSI,Larval stage index,FALSE,NA,NA
MULT,Multiple durations (for terrestrial rollup),FALSE,NA,NA
NA,Not applicable,FALSE,NA,NA
NC,Not coded,FALSE,NA,NA
NR,Not reported,FALSE,NA,NA
ZGS,Zadoks growth stage,FALSE,NA,NA
abs,Until abscission,FALSE,NA,NA
ac,Age class,FALSE,NA,NA
alv,Alevin,FALSE,NA,NA
ant,Until anthesis,FALSE,NA,NA
b0.25,0.25 bloom stage,FALSE,NA,NA
bbch,BBCH Scale,FALSE,NA,NA
brd,Brood or litter,FALSE,NA,NA
brs,Breeding season,FALSE,NA,NA
bt,Boot stage,FALSE,NA,NA
cd,Colony diameter,FALSE,NA,NA
cfs,Commercial flowering stage,FALSE,NA,NA
clv,Until cleavage,FALSE,NA,NA
crs,Crab stage,FALSE,NA,NA
cs,Cell stage,FALSE,NA,NA
d,Day(s),TRUE,24,24 hours in a day
dapu,Days after pupation,TRUE,24,24 hours in a day
dbh,Days pre-hatch,TRUE,24,24 hours in a day
dd,Degree days,FALSE,NA,NA
dge,Days gestation,TRUE,24,24 hours in a day
dh,Degree hours,FALSE,NA,NA
dla,Days lactation,TRUE,24,24 hours in a day
dpe,Days post-emergence,TRUE,24,24 hours in a day
dpel,Days post egg laying,TRUE,24,24 hours in a day
dpes,days post-estrus,TRUE,24,24 hours in a day
dpf,Days post fertilization,TRUE,24,24 hours in a day
dpfg,Days post fledging,TRUE,24,24 hours in a day
dpfl,Days post flowering,TRUE,24,24 hours in a day
dpgm,Days post germination,TRUE,24,24 hours in a day
dph,Days post-hatch,TRUE,24,24 hours in a day
dphv,Days post harvest,TRUE,24,24 hours in a day
dpm,Days post-moult,TRUE,24,24 hours in a day
dpmm,Days post metamorphosis,TRUE,24,24 hours in a day
dpn,Days post-natal,TRUE,24,24 hours in a day
dpo,Days post-oviposition,TRUE,24,24 hours in a day
dpp,Days post planting/sowing,TRUE,24,24 hours in a day
dpr,Days post-release,TRUE,24,24 hours in a day
dpref,Days pre-fertilization,TRUE,24,24 hours in a day
dps,Days post-spawn,TRUE,24,24 hours in a day
dpu,Days post-swim up,TRUE,24,24 hours in a day
dpw,Days post-swimming,TRUE,24,24 hours in a day
dpys,Days post yolk sac absorption,TRUE,24,24 hours in a day
ea,To earing or heading,FALSE,NA,NA
eb,Early bloom stage,FALSE,NA,NA
ej,Egg to juvenile,FALSE,NA,NA
el,Egg(s) laid,FALSE,NA,NA
em,Emergence,FALSE,NA,NA
ep,Egg to pupation,FALSE,NA,NA
epa,Egg to pre-adult,FALSE,NA,NA
eslk,Early silk stage,FALSE,NA,NA
eso,End of shooting stage,FALSE,NA,NA
eta,Egg to adult,FALSE,NA,NA
ey,Eyed stage,FALSE,NA,NA
f5,50% flowering,FALSE,NA,NA
fb,Full bloom stage,FALSE,NA,NA
fd,Frond,FALSE,NA,NA
fi,Floral initiation,FALSE,NA,NA
fl,Flower stage,FALSE,NA,NA
flg,Fledging,FALSE,NA,NA
fr,Fruit stage,FALSE,NA,NA
frt,To fertilization,FALSE,NA,NA
fry,Fry,FALSE,NA,NA
fs,Flowering stage,FALSE,NA,NA
gds,Gallien and durocher stage,FALSE,NA,NA
ge,Generation,FALSE,NA,NA
ges,Gestation,FALSE,NA,NA
gm,Germination,FALSE,NA,NA
go,Gosner stage,FALSE,NA,NA
gs,Growing season,FALSE,NA,NA
gts,Gastrula stage,FALSE,NA,NA
h,Hour(s),TRUE,1,1 hour in an hour
hbe,hours pre-estrus,TRUE,1,1 hour in an hour
hbf,Hours pre-fertilization,TRUE,1,1 hour in an hour
hbh,Hours pre-hatch,TRUE,1,1 hour in an hour
hns,Haun stage,FALSE,NA,NA
hpe,Hours post-emergence,TRUE,1,1 hour in an hour
hpel,Hours post egg laying,TRUE,1,1 hour in an hour
hpf,Hours post fertilization,TRUE,1,1 hour in an hour
hph,Hours post hatch,TRUE,1,1 hour in an hour
hpp,Hours post planting/sowing,TRUE,1,1 hour in an hour
hpr,Hours post release,TRUE,1,1 hour in an hour
hps,hours post-spawn,TRUE,1,1 hour in an hour
hs,Harrison stage,FALSE,NA,NA
ht,Until hatch,FALSE,NA,NA
hv,Harvest,FALSE,NA,NA
i2,Intermolt to 2nd molt,FALSE,NA,NA
ins,Instar,FALSE,NA,NA
inst,Instantaneous,FALSE,NA,NA
it,Intermolt to molt,FALSE,NA,NA
js,jointing stage,FALSE,NA,NA
kh,Knee-high stage,FALSE,NA,NA
lf,Lifetime;no associated numeric value,FALSE,NA,NA
lfd,Leaf drop,FALSE,NA,NA
lgp,To lag phase,FALSE,NA,NA
lhv15-20,"Leaf harvest, 15-20 cm",FALSE,NA,NA
lhv20-25,"Leaf harvest, 20-25 cm",FALSE,NA,NA
log,To log phase,FALSE,NA,NA
ls,Leaf stage,FALSE,NA,NA
ls4-6,4-6 leaf stage,FALSE,NA,NA
ls6,Six leaf stage,FALSE,NA,NA
ls9-10,9-10 leaf stage,FALSE,NA,NA
lva,Larva to adult,FALSE,NA,NA
lvp,Larva to pupa,FALSE,NA,NA
lvsa,Larva to subadult,FALSE,NA,NA
ma,Maturity,FALSE,NA,NA
mi,Minute(s),TRUE,0.016666667,60 minutes in an hour
mmph,Until metamorphosis,FALSE,NA,NA
mo,Month(s),TRUE,720,"30 days in a month, 24 hours in a day"
mope,Months post-emergence,TRUE,720,"30 days in a month, 24 hours in a day"
mopf,Months post-fertilization,TRUE,720,"30 days in a month, 24 hours in a day"
moph,Months post-hatch,TRUE,720,"30 days in a month, 24 hours in a day"
mopm,Months post-metamorphosis,TRUE,720,"30 days in a month, 24 hours in a day"
mopres,Months pre-smolt,TRUE,720,"30 days in a month, 24 hours in a day"
mopswm,Months post swim-up,TRUE,720,"30 days in a month, 24 hours in a day"
mpf,Minutes post-fertilization,TRUE,0.016666667,60 minutes in an hour
mpgm,Months post-germination,TRUE,720,"30 days in a month, 24 hours in a day"
mph,Minutes post-hatch,TRUE,0.016666667,60 minutes in an hour
mpp,Months post planting/sowing,TRUE,720,"30 days in a month, 24 hours in a day"
myp,Mysis - post-larvae,FALSE,NA,NA
nf,Nieuwkoop-faber-stage,FALSE,NA,NA
pa,Pupa to adult,FALSE,NA,NA
pan,Panicle formation stage,FALSE,NA,NA
pci,Phytochron index,FALSE,NA,NA
pd,1st pod set,FALSE,NA,NA
pgm,Post germination,FALSE,NA,NA
pm,Post molt,FALSE,NA,NA
pr,Priming,FALSE,NA,NA
pro,Propagation stage,FALSE,NA,NA
rhv3,"Root harvest, 3 grams",FALSE,NA,NA
s,Second(s),TRUE,2.77778e-4,"60 seconds in a minute, 60 minutes in an hour"
sds,seedling stage,FALSE,NA,NA
slk,Silk stage,FALSE,NA,NA
sms,Somite stage,FALSE,NA,NA
so,Shooting stage,FALSE,NA,NA
spf,Seconds post-fertilization,TRUE,2.77778e-4,"60 seconds in a minute, 60 minutes in an hour"
spref,Seconds pre-fertilization,TRUE,2.77778e-4,"60 seconds in a minute, 60 minutes in an hour"
ss,Squaring stage,FALSE,NA,NA
sss,Seed set stage,FALSE,NA,NA
sst,Substage,FALSE,NA,NA
stg,Stage,FALSE,NA,NA
su,Summer,FALSE,NA,NA
swm,Swim-up,FALSE,NA,NA
tls,Tiller stage,FALSE,NA,NA
tr,1st trifoliate leaf,FALSE,NA,NA
ts,Time to tassle,FALSE,NA,NA
ubi,Until birth,FALSE,NA,NA
utl,Until larva,FALSE,NA,NA
utp,Until pupa,FALSE,NA,NA
vg,Vegatative stage,FALSE,NA,NA
wbh,Weeks pre-hatch,TRUE,168,"7 days in a week, 24 hours in a day"
wk,Week(s),TRUE,168,"7 days in a week, 24 hours in a day"
wkpm,Weeks post metamorphosis,TRUE,168,"7 days in a week, 24 hours in a day"
wkprf,Weeks pre-fertilization,TRUE,168,"7 days in a week, 24 hours in a day"
wpe,Weeks post-emergence,TRUE,168,"7 days in a week, 24 hours in a day"
wph,Weeks post-hatch,TRUE,168,"7 days in a week, 24 hours in a day"
wphv,Weeks pre harvest,TRUE,168,"7 days in a week, 24 hours in a day"
wpp,Weeks post planting/sowing,TRUE,168,"7 days in a week, 24 hours in a day"
wps,Weeks post-swim-up,TRUE,168,"7 days in a week, 24 hours in a day"
wpv3,Weeks post V3 stage,TRUE,168,"7 days in a week, 24 hours in a day"
wpv5,Weeks post V5 stage,TRUE,168,"7 days in a week, 24 hours in a day"
yc,Year class,TRUE,8760,365 days in a year and 24 hours in a day
yph,Years post-hatch,TRUE,8760,365 days in a year and 24 hours in a day
yr,Year(s),TRUE,8760,365 days in a year and 24 hours in a day
zm,Zoeae - megalop,FALSE,NA,NA
zmy,Zoeae - mysis,FALSE,NA,NA
